Issue Type,Issue key,Issue id,Summary,Status,Outward issue link (Blocking),Outward issue link (Blocking),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Description,Custom field (Parent Link)
Requirement,DMFDREQ-1205,81581,LOCK SENSE FAULT CAS Message,Review Deprecation Request,,,,,,,,MFD-3868,,,,,"The MFD shall annunciate LOCK SENSE FAULT message for these conditions:
||CAS Level||Condition||Throw Time||Dwell Time||Suppressed During Boost||Suppressed By||
|Advisory|nan|5.0|1.0|YES| |",
Requirement,DMFDREQ-1200,81576,LOCK L PNEU JAM CAS Message,Review Deprecation Request,,,,,,,,MFD-3863,,,,,"The MFD shall annunciate LOCK L PNEU JAM message for these conditions:
||CAS Level||Condition||Throw Time||Dwell Time||Suppressed During Boost||Suppressed By||
|Warning|nan|3.0|5.0|YES| |",
Requirement,DMFDREQ-1201,81577,LOCK L PNEU LEAK CAS Message,Review Deprecation Request,,,,,,,,MFD-3864,,,,,"The MFD shall annunciate LOCK L PNEU LEAK message for these conditions:
||CAS Level||Condition||Throw Time||Dwell Time||Suppressed During Boost||Suppressed By||
|Caution|nan|3.0|3.0|YES| |",
Requirement,DMFDREQ-1203,81579,LOCK R PNEU JAM CAS Message,Review Deprecation Request,,,,,,,,MFD-3866,,,,,"The MFD shall annunciate LOCK R PNEU JAM message for these conditions:
||CAS Level||Condition||Throw Time||Dwell Time||Suppressed During Boost||Suppressed By||
|Warning|nan|3.0|5.0|YES| |",
Requirement,DMFDREQ-1204,81580,LOCK R PNEU LEAK CAS Message,Review Deprecation Request,,,,,,,,MFD-3867,,,,,"The MFD shall annunciate LOCK R PNEU LEAK message for these conditions:
||CAS Level||Condition||Throw Time||Dwell Time||Suppressed During Boost||Suppressed By||
|Caution|nan|3.0|3.0|YES| |",
Requirement,DMFDREQ-1198,81574,LOCK INHIBITED CAS Message,Review Deprecation Request,,,,,,,,MFD-3861,,,,,"The MFD shall annunciate LOCK INHIBITED message for these conditions:
||CAS Level||Condition||Throw Time||Dwell Time||Suppressed During Boost||Suppressed By||
|Caution|nan|3.0|3.0|NO| |",
Requirement,DMFDREQ-1192,81568,FTHR L OVERPRESS CAS Message,Review Deprecation Request,,,,,,,,MFD-3855,,,,,"The MFD shall annunciate FTHR L OVERPRESS message for these conditions:
||CAS Level||Condition||Throw Time||Dwell Time||Suppressed During Boost||Suppressed By||
|Caution|nan|1.0|5.0|YES| |",
Requirement,DMFDREQ-1195,81571,FTHR R OVERPRESS CAS Message,Review Deprecation Request,,,,,,,,MFD-3858,,,,,"The MFD shall annunciate FTHR R OVERPRESS message for these conditions:
||CAS Level||Condition||Throw Time||Dwell Time||Suppressed During Boost||Suppressed By||
|Caution|nan|1.0|5.0|YES| |",
Requirement,DMFDREQ-1196,81572,FTHR R PNEU LEAK CAS Message,Review Deprecation Request,,,,,,,,MFD-3859,,,,,"The MFD shall annunciate FTHR R PNEU LEAK message for these conditions:
||CAS Level||Condition||Throw Time||Dwell Time||Suppressed During Boost||Suppressed By||
|Caution|nan|3.0|3.0|YES| |",
Requirement,DMFDREQ-2261,115982,NAV SETUP Magnetic Variation,New Requirement,,,,,,,,DMFDREQ-2259,,,,,"The NAV SETUP Page shall display the magnetic variation next to the MAG VAR soft key, in the format ""v.v<E/W>"", where:
 * v.v is the magnetic variation value in degree with one decimal place
 * E/W indicates east or west

Reference Image
!image-2026-07-08-14-58-58-791.png!",
